time_tag,begin_time,begin_class,max_time,max_class,max_xrlong,max_ratio,max_ratio_time,current_int_xrlong,end_time,end_class,satellite
2026-04-22T01:32:00Z,2026-04-22T01:32:00Z,B4.7,2026-04-22T01:39:00Z,C1.7,1.752190655679442e-06,0.3553167461851872,2026-04-22T01:38:19Z,0.0008203484467230737,2026-04-22T01:44:00Z,C1.0,18
2026-04-22T04:22:00Z,2026-04-22T04:22:00Z,B6.9,2026-04-22T04:33:00Z,C1.4,1.435000854144164e-06,0.17366456257229074,2026-04-22T04:25:12Z,0.0012954798294231296,2026-04-22T04:40:00Z,C1.0,18
2026-04-22T06:10:00Z,2026-04-22T06:10:00Z,B7.8,2026-04-22T06:17:00Z,C1.1,1.1491233635751996e-06,0.15479671313413995,2026-04-22T06:14:18Z,0.0006830674246884882,2026-04-22T06:20:00Z,B9.6,18
2026-04-22T09:50:00Z,2026-04-22T09:50:00Z,B5.6,2026-04-22T09:58:00Z,C1.0,1.0545531949901488e-06,0.2853030375073695,2026-04-22T09:57:39Z,0.0010324007598683238,2026-04-22T10:09:00Z,B7.8,18
2026-04-22T14:59:00Z,2026-04-22T14:59:00Z,B5.8,2026-04-22T15:04:00Z,B9.3,9.395994879923819e-07,0.12164267447809193,2026-04-22T15:02:51Z,0.0006751633482053876,2026-04-22T15:11:00Z,B7.4,18
2026-04-22T16:35:00Z,2026-04-22T16:35:00Z,B6.6,2026-04-22T16:38:00Z,C1.5,1.5568726894343854e-06,0.13847386993801955,2026-04-22T16:37:49Z,0.0005193905089981854,2026-04-22T16:41:00Z,C1.1,18
2026-04-22T17:01:00Z,2026-04-22T17:01:00Z,B7.7,2026-04-22T17:14:00Z,C3.7,3.7422842069645412e-06,0.15246767333229888,2026-04-22T17:11:14Z,0.003395175328478217,2026-04-22T17:24:00Z,C2.1,18
2026-04-22T19:06:00Z,2026-04-22T19:06:00Z,B5.7,2026-04-22T19:20:00Z,C2.3,2.306009264430031e-06,0.1554850981701051,2026-04-22T19:16:26Z,0.003328517312183976,2026-04-22T19:39:00Z,C1.4,18
2026-04-22T23:02:00Z,2026-04-22T23:02:00Z,B7.6,2026-04-22T23:14:00Z,C3.0,3.072468871323508e-06,0.1472356208061341,2026-04-22T23:10:56Z,0.0032010816503316164,2026-04-22T23:27:00Z,C1.8,18
2026-04-23T01:02:00Z,2026-04-23T01:02:00Z,C1.0,2026-04-23T01:17:00Z,C4.4,4.464020548766712e-06,0.09830742938750876,2026-04-23T01:14:41Z,0.004843426868319511,2026-04-23T01:29:00Z,C2.6,18
2026-04-23T02:16:00Z,2026-04-23T02:16:00Z,C1.2,2026-04-23T02:23:00Z,C1.9,1.929810878209537e-06,0.09683054796523496,2026-04-23T02:21:42Z,0.0015737531939521432,2026-04-23T02:30:00Z,C1.5,18
2026-04-23T04:24:00Z,2026-04-23T04:24:00Z,B8.8,2026-04-23T04:35:00Z,M1.6,1.650170270295348e-05,0.21231090707802291,2026-04-23T04:33:36Z,0.013253044337034225,2026-04-23T04:48:00Z,C8.4,18
2026-04-23T04:50:00Z,2026-04-23T04:50:00Z,C7.5,2026-04-23T04:59:00Z,M1.2,1.2445627362467349e-05,0.1375577938865288,2026-04-23T04:53:10Z,0.012757662683725357,2026-04-23T05:08:00Z,C9.9,18
2026-04-23T07:48:00Z,2026-04-23T07:48:00Z,C2.4,2026-04-23T07:57:00Z,C4.5,4.562949470710009e-06,0.09629649043030282,2026-04-23T07:56:04Z,0.004729514475911856,2026-04-23T08:06:00Z,C3.9,18
2026-04-23T08:06:00Z,2026-04-23T08:06:00Z,C3.9,2026-04-23T08:11:00Z,C5.6,5.682421488018008e-06,0.09134621905256468,2026-04-23T08:10:34Z,0.004482384771108627,2026-04-23T08:19:00Z,C4.6,18
2026-04-23T08:40:00Z,2026-04-23T08:40:00Z,C1.7,2026-04-23T08:48:00Z,M4.3,4.33020613854751e-05,0.29933509032604366,2026-04-23T08:46:35Z,0.019766975194215775,2026-04-23T08:53:00Z,M2.2,18
2026-04-23T09:47:00Z,2026-04-23T09:47:00Z,C1.7,2026-04-23T09:53:00Z,C2.3,2.3868603875598637e-06,0.09739589228846104,2026-04-23T09:52:11Z,0.0014585672179237008,2026-04-23T09:57:00Z,C1.9,18
2026-04-23T11:51:00Z,2026-04-23T11:51:00Z,B9.4,2026-04-23T11:58:00Z,C1.4,1.415063593412924e-06,0.11095098785253094,2026-04-23T11:51:58Z,0.0010574831394478679,2026-04-23T12:04:00Z,C1.1,18
2026-04-23T12:26:00Z,2026-04-23T12:26:00Z,C1.0,2026-04-23T12:30:00Z,C1.3,1.399258053425001e-06,0.08014515888374335,2026-04-23T12:29:42Z,0.0009575026342645288,2026-04-23T12:37:00Z,C1.1,18
2026-04-23T12:59:00Z,2026-04-23T12:59:00Z,C1.4,2026-04-23T13:02:00Z,C2.1,2.182731577704544e-06,0.10179234152676034,2026-04-23T13:01:23Z,0.0008483242127113044,2026-04-23T13:04:00Z,C1.7,18
2026-04-23T13:42:00Z,2026-04-23T13:42:00Z,C1.1,2026-04-23T14:00:00Z,M1.7,1.7116248272941448e-05,0.20626136734297448,2026-04-23T13:57:57Z,0.016995444893836975,2026-04-23T14:11:00Z,C9.1,18
2026-04-23T15:14:00Z,2026-04-23T15:14:00Z,B9.7,2026-04-23T15:27:00Z,C1.4,1.4032964372745482e-06,0.15909054917607438,2026-04-23T15:17:54Z,0.002535795094445348,2026-04-23T15:42:00Z,C1.2,18
2026-04-23T15:42:00Z,2026-04-23T15:42:00Z,C1.2,2026-04-23T16:17:00Z,C7.4,7.455961622326868e-06,0.16662992702037827,2026-04-23T15:46:37Z,0.018239591270685196,2026-04-23T16:46:00Z,C4.2,18
2026-04-23T17:00:00Z,2026-04-23T17:00:00Z,C2.8,2026-04-23T17:08:00Z,M4.9,4.954410542268306e-05,0.3104561982403517,2026-04-23T17:05:30Z,0.026988346129655838,2026-04-23T17:14:00Z,M2.5,18
2026-04-23T19:59:00Z,2026-04-23T19:59:00Z,C1.7,2026-04-23T20:06:00Z,C4.1,4.134306891501183e-06,0.16912061096582276,2026-04-23T20:04:53Z,0.002184145152568817,2026-04-23T20:10:00Z,C2.8,18
