time_tag,xrsa,xrsb
2026-04-23T15:57:00Z,1.587589082419072e-07,1.8840457869373495e-06
2026-04-23T15:58:00Z,1.8768916731914942e-07,2.1036851194367046e-06
2026-04-23T15:59:00Z,2.88770991119236e-07,2.6782900022226386e-06
2026-04-23T16:00:00Z,4.188548814454407e-07,3.5137625218339963e-06
2026-04-23T16:01:00Z,4.34071864674479e-07,3.7447114209498977e-06
2026-04-23T16:02:00Z,4.842900125368033e-07,4.049079507240094e-06
2026-04-23T16:03:00Z,5.148524451215053e-07,4.166078269918216e-06
2026-04-23T16:04:00Z,5.809534400214034e-07,4.419278411660343e-06
2026-04-23T16:05:00Z,6.348116698973172e-07,4.859375621890649e-06
2026-04-23T16:06:00Z,6.62647437366104e-07,5.246994987828657e-06
2026-04-23T16:07:00Z,7.067192768772657e-07,5.5543496273458e-06
2026-04-23T16:08:00Z,7.439593332492223e-07,5.712395704904338e-06
2026-04-23T16:09:00Z,8.063078666964429e-07,5.949499154667137e-06
2026-04-23T16:10:00Z,8.625454483990325e-07,6.208390914252959e-06
2026-04-23T16:11:00Z,9.147408377430111e-07,6.501431471406249e-06
2026-04-23T16:12:00Z,9.435099741494923e-07,6.8151766754454e-06
2026-04-23T16:13:00Z,9.494007713328756e-07,7.0737023634137586e-06
2026-04-23T16:14:00Z,9.219335197485634e-07,7.2171728788816836e-06
2026-04-23T16:15:00Z,9.039210340233694e-07,7.36147012503352e-06
2026-04-23T16:16:00Z,8.990045330392604e-07,7.441704383381875e-06
2026-04-23T16:17:00Z,9.036776873472263e-07,7.493224075005855e-06
2026-04-23T16:18:00Z,8.960450372796913e-07,7.473141522496007e-06
2026-04-23T16:19:00Z,8.902475769900775e-07,7.457681931555271e-06
2026-04-23T16:20:00Z,8.698244187144155e-07,7.396617093036184e-06
2026-04-23T16:21:00Z,8.432056120000198e-07,7.310214186873054e-06
2026-04-23T16:22:00Z,7.997895181688364e-07,7.165939678088762e-06
2026-04-23T16:23:00Z,7.592533961542358e-07,7.037733212200692e-06
2026-04-23T16:24:00Z,7.21732476449688e-07,6.889733413117938e-06
2026-04-23T16:25:00Z,6.822054388067045e-07,6.7284599936101586e-06
2026-04-23T16:26:00Z,6.505551937152632e-07,6.588838004972786e-06
2026-04-23T16:27:00Z,6.174057602947869e-07,6.440032393584261e-06
2026-04-23T16:28:00Z,5.909950004934217e-07,6.31683724350296e-06
2026-04-23T16:29:00Z,5.694832907465752e-07,6.207554179127328e-06
2026-04-23T16:30:00Z,5.396154278969334e-07,6.089163889555493e-06
2026-04-23T16:31:00Z,5.170852546143578e-07,5.9883213907596655e-06
2026-04-23T16:32:00Z,4.945843556924956e-07,5.872469046153128e-06
2026-04-23T16:33:00Z,4.7098137656576e-07,5.756892733188579e-06
2026-04-23T16:34:00Z,4.4827874035036075e-07,5.6179897001129575e-06
2026-04-23T16:35:00Z,4.2113072140637087e-07,5.470899395731976e-06
2026-04-23T16:36:00Z,3.97534591911608e-07,5.333693025022512e-06
2026-04-23T16:37:00Z,3.772206014218682e-07,5.192046046431642e-06
2026-04-23T16:38:00Z,3.5778987239609705e-07,5.054627763456665e-06
2026-04-23T16:39:00Z,3.361004701218917e-07,4.912077656626934e-06
2026-04-23T16:40:00Z,3.1945796763466205e-07,4.764964160131058e-06
2026-04-23T16:41:00Z,3.017536300831125e-07,4.62525758848642e-06
2026-04-23T16:42:00Z,2.8706287480417814e-07,4.507900030148448e-06
